Domanda,Opzione A,Opzione B,Opzione C,Risposta corretta
Con il seguente segnale di sicurezza indichiamo,Il punto di installazione di un estintore portatile,Il punto di installazione di un estintore carrellato,Il locale del luogo di lavoro nel quale sono collocati tutti gli estintori per affrontare un principio di incendio ,Il punto di installazione di un estintore portatile
Con il seguente segnale di sicurezza indichiamo,Il punto di installazione di un estintore portatile,Il punto di installazione di un estintore carrellato,Il locale del luogo di lavoro nel quale sono collocati tutti gli estintori per affrontare un principio di incendio ,Il punto di installazione di un estintore carrellato
La rete idrica antincendi o rete idranti è un impianto di protezione attiva finalizzato al “controllo dell’incendio”,"sì, è un impianto fisso ad azionamento automatico","sì, è un impianto fisso ad azionamento manuale","no, è un impianto fisso finalizzato alla rilevazione dell’incendio","sì, è un impianto fisso ad azionamento manuale"
Le reti di idranti (RI) si distinguono in RI ordinarie e RI all’aperto,"No, esistono solo le RI ordinarie, destinate alla protezione di attività ubicate all’interno di opere da costruzione","Si, ordinarie, destinate alla protezione di attività ubicate all’interno di opere da costruzione, e all’aperto, destinate alla protezione di attività ubicate all’aperto","No, esistono solo le RI all’aperto, destinate alla protezione di attività ubicate all’aperto","Si, ordinarie, destinate alla protezione di attività ubicate all’interno di opere da costruzione, e all’aperto, destinate alla protezione di attività ubicate all’aperto"
Le reti di idranti (RI) sono composte dai seguenti componenti principali,alimentazione idrica e rete di tubazioni fisse,"alimentazione idrica; rete di tubazioni fisse, preferibilmente chiuse ad anello, ad uso esclusivo; attacchi di mandata per autopompa; valvole; apparecchi erogatori","alimentazione idrica, attacchi di mandata per autopompa e valvole","alimentazione idrica; rete di tubazioni fisse, preferibilmente chiuse ad anello, ad uso esclusivo; attacchi di mandata per autopompa; valvole; apparecchi erogatori"
"Gli apparecchi erogatori utilizzati nelle reti idranti ordinarie, destinate alla protezione di attività ubicate all’interno di opere da costruzione, si dividono in:",idranti a muro di DN 50 (φ = 50 mm) o naspi DN 30 (φ = 30 mm),idranti a muro di DN 45 (φ = 45 mm) o naspi di DN 25 (φ = 25 mm),Nelle reti idranti ordinarie si utilizzano esclusivamente idranti a muro DN 45(φ = 45 mm),idranti a muro di DN 45 (φ = 45 mm) o naspi di DN 25 (φ = 25 mm)
La tubazione flessibile degli “idranti a muro DN 45 (φ = 45 mm)” è in genere lunga,50 metri,20 metri,10 metri,20 metri
La tubazione semirigida dei “naspi DN 25 (φ = 25 mm)” ha una lunghezza massima di ,50 metri,30 metri,10 metri,30 metri
"I sistemi automatici di inibizione, controllo o estinzione dell’incendio adottati nella misura “controllo dell’incendio” possono erogare diversa tipologia di agenti estinguenti (acqua, gas, polvere …)","No, i sistemi utilizzati per il “controllo dell’incendio” possono erogare solo acqua (impianti sprinkler o diluvio)","Si, in relazione alla classe dell’incendio e al rischio di incendio presente nell’attività ","No, i sistemi utilizzati per il “controllo dell’incendio” possono erogare solo agenti estinguenti di tipo gassoso","Si, in relazione alla classe dell’incendio e al rischio di incendio presente nell’attività "
Un impianto automatico a pioggia sprinkler,"Serve ad estinguere definitivamente l’incendio, anche se si è diffuso all’intero locale servito","serve ad assicurare una pronta risposta all’incendio rivelandone la presenza e controllandolo in modo che l'estinzione possa essere completata con altri mezzi, oppure estinguendolo nello stadio iniziale",serve ad assicurare una pronta risposta all’incendio rivelandone la presenza,"serve ad assicurare una pronta risposta all’incendio rivelandone la presenza e controllandolo in modo che l'estinzione possa essere completata con altri mezzi, oppure estinguendolo nello stadio iniziale"
Gli ugelli regolatori distribuiti sull’area protetta dagli impianti a pioggia sprinkler,"Sono tutti aperti, all’attivazione dell’allarme viene erogata acqua contemporaneamente in tutto il locale protetto ",Sono chiusi con elementi che ad una data temperatura (termosensibili) si “rompono” consentendo all’acqua di uscire,"Sono chiusi con elementi che si “rompono” alla temperatura di progetto, che è sempre di 200° C",Sono chiusi con elementi che ad una data temperatura (termosensibili) si “rompono” consentendo all’acqua di uscire
Un impianto automatico a diluvio,"serve ad assicurare una pronta risposta all’incendio rivelandone la presenza e controllandolo in modo che l'estinzione possa essere completata con altri mezzi, oppure estinguendolo nello stadio iniziale","è un sistema fisso di protezione antincendio che inonda totalmente l'area con acqua sotto pressione, attraverso un sistema di tubazioni e di erogatori sprinkler privi del tappo e dell'elemento termosensibile",serve ad assicurare una pronta risposta all’incendio rivelandone la presenza,"è un sistema fisso di protezione antincendio che inonda totalmente l'area con acqua sotto pressione, attraverso un sistema di tubazioni e di erogatori sprinkler privi del tappo e dell'elemento termosensibile"
Negli impianti automatici a diluvio le tubazioni sono vuote e l'acqua è mantenuta a monte di un'apposita valvola a diluvio la cui apertura è comandata da un sistema di rivelazione incendi scaricando l'acqua contemporaneamente da tutti gli erogatori,"No, le tubazioni sono piene è l’acqua è scaricata solo nell’area in cui gli elementi termosensibili si aprono e consentono all’acqua si uscire",Si,Gli impianti a diluvio non esisitono,Si
La progettazione della misura antincendio “Operatività Antincendio” ha lo scopo di:,agevolare l’efficace conduzione di interventi di soccorso dei Vigili del fuoco in tutte le attività,agevolare l’efficace azione delle “addetti alla gestione dell’emergenza” aziendali in tutte le attività,Agevolare l’efficace azione dei soccorsi sanitari in tutte le attività,agevolare l’efficace conduzione di interventi di soccorso dei Vigili del fuoco in tutte le attività
"Ai fini della mitigazione del rischio incendio, è sempre necessario, in relazione al rischio valutato, progettare soluzioni tecniche che agevolino l’efficace conduzione di interventi di soccorso dei Vigili del fuoco","No, l’agevolazione dell’attività di soccorso dei Vigili del Fuoco non rientra fra i requisiti da garantire al fine di minimizzare il rischio incendio e raggiungere gli obiettivi di sicurezza primaria della prevenzione incendi","Si, l’agevolazione dell’attività di soccorso dei Vigili del Fuoco rientra fra i requisiti da garantire al fine di minimizzare il rischio incendio e raggiungere gli obiettivi di sicurezza primaria della prevenzione incendi","No, le misure finalizzate all’agevolazione dell’attività di soccorso dei Vigili del Fuoco non si progettano con l’applicazione del “Codice” ma concordandole con il locale Comando VVF","Si, l’agevolazione dell’attività di soccorso dei Vigili del Fuoco rientra fra i requisiti da garantire al fine di minimizzare il rischio incendio e raggiungere gli obiettivi di sicurezza primaria della prevenzione incendi"
"Tra le misure di “Operatività Antincendio” rientra l’accessibilità per mezzi di soccorso antincendio, ","Si, al fine di agevolare gli interventi dei VVF","No, l’importante che i mezzi possano arrivare tramite la pubblica il più vicino possibile al luogo dell’intervento, a prescindere dalla distanza degli accessi all’attività","No, l’accessibilità per i mezzi di soccorso all’attività non influisce sulla mitigazione del rischio di incendio dell’attività","Si, al fine di agevolare gli interventi dei VVF"
Tra le misure di “Operatività Antincendio” rientra la pronta disponibilità di agenti estinguenti,"Si, ed è attuabile nei seguenti modi: rete idranti con protezione interna o, in alternativa, per attività a più piani fuori terra, tramite colonna a secco e rete idranti con protezione esterna o presenza di almeno un idrante, derivato dalla rete interna oppure collegato alla rete pubblica, raggiungibile con un percorso massimo di 500 m dai confini dell’attività","No, i Vigili del Fuoco che intervengono hanno sui loro mezzi gli agenti estinguenti sufficienti a fronteggiare tempestivamente ed efficacemente qualunque tipo di incendio","No, la pronta disponibilità di agenti estinguenti non influisce sulla mitigazione del rischio di incendio dell’attività","Si, ed è attuabile nei seguenti modi: rete idranti con protezione interna o, in alternativa, per attività a più piani fuori terra, tramite colonna a secco e rete idranti con protezione esterna o presenza di almeno un idrante, derivato dalla rete interna oppure collegato alla rete pubblica, raggiungibile con un percorso massimo di 500 m dai confini dell’attività"
"Tra le misure di “Operatività Antincendio” rientra la possibilità di controllare o arrestare gli impianti tecnologici e di servizio dell’attività, compresi gli impianti di sicurezza","Si, e si attua, ad esempio, mediante l’ubicazione dei sistemi di controllo e comando dei servizi di sicurezza destinati a funzionare in caso di incendio in posizione segnalata e facilmente raggiungibile durante l’incendio","No, i Vigili del Fuoco che intervengono hanno i dispositivi di protezione individuale grazie ai quali possono raggiungere ogni area dell’attività e controllare o arrestare gli impianti dell’attività","No, la possibilità di controllare o arrestare gli impianti tecnologici e di servizio dell’attività, compresi gli impianti di sicurezza non influisce sulla mitigazione del rischio di incendio dell’attività","Si, e si attua, ad esempio, mediante l’ubicazione dei sistemi di controllo e comando dei servizi di sicurezza destinati a funzionare in caso di incendio in posizione segnalata e facilmente raggiungibile durante l’incendio"
Tra le misure di “Operatività Antincendio” rientra l’accessibilità protetta per i vigili del fuoco a tutti i piani dell’attività,"Si, e si attua, ad esempio, tramite accostabilità a tutti i piani dell’autoscala o di mezzo equivalente dei vigili del fuoco","No, i Vigili del Fuoco che intervengono hanno i dispositivi di protezione individuale grazie ai quali possono raggiungere ogni area dell’attività e operare contro l’incendio","No, l’accessibilità protetta per i vigili del fuoco a tutti i piani dell’attività non influisce sulla mitigazione del rischio di incendio dell’attività","Si, e si attua, ad esempio, tramite accostabilità a tutti i piani dell’autoscala o di mezzo equivalente dei vigili del fuoco"
L’ascensore antincendio è,"un ascensore installato principalmente per uso degli occupanti, munito però di ulteriori protezioni, comandi e segnalazioni che lo rendono in grado di essere impiegato, sotto il controllo delle squadre di soccorso, anche in caso di incendio","un ascensore utilizzabile in caso di incendio, installato esclusivamente per il trasporto delle attrezzature di servizio antincendio ed eventualmente, per l’evacuazione di emergenza degli occupanti",un ascensore protetto da impianti automatici di spegnimento,"un ascensore installato principalmente per uso degli occupanti, munito però di ulteriori protezioni, comandi e segnalazioni che lo rendono in grado di essere impiegato, sotto il controllo delle squadre di soccorso, anche in caso di incendio"
L’ascensore di soccorso è,"un ascensore installato principalmente per uso degli occupanti, munito però di ulteriori protezioni, comandi e segnalazioni che lo rendono in grado di essere impiegato, sotto il controllo delle squadre di soccorso, anche in caso di incendio","un ascensore utilizzabile in caso di incendio, installato esclusivamente per il trasporto delle attrezzature di servizio antincendio ed eventualmente, per l’evacuazione di emergenza degli occupanti",un ascensore protetto da impianti automatici di spegnimento,"un ascensore utilizzabile in caso di incendio, installato esclusivamente per il trasporto delle attrezzature di servizio antincendio ed eventualmente, per l’evacuazione di emergenza degli occupanti"
La Gestione della Sicurezza Antincendio è la misura di sicurezza antincendio,"finalizzata alla gestione di un’attività in condizioni di sicurezza, sia in fase di esercizio che in fase di emergenza, attraverso l’adozione di una organizzazione che prevede ruoli, compiti, responsabilità e procedure","finalizzata solo alla gestione di un’attività in condizioni di sicurezza in fase di esercizio, attraverso l’adozione di una organizzazione che prevede ruoli, compiti, responsabilità e procedure",non è una misura di sicurezza antincendio ma una strategia,"finalizzata alla gestione di un’attività in condizioni di sicurezza, sia in fase di esercizio che in fase di emergenza, attraverso l’adozione di una organizzazione che prevede ruoli, compiti, responsabilità e procedure"
la finalità della misura Gestione della Sicurezza Antincendio (GSA),"È di garantire, nel tempo, un adeguato livello di sicurezza in caso di incendio",E’ di garantire nel tempo un adeguato livello di manutenzione delle attrezzature e impianti antincendio,E’ di garantire nel tempo una adeguato livello di affidabilità degli impianti di protezione attiva a disponibilità superiore,"È di garantire, nel tempo, un adeguato livello di sicurezza in caso di incendio"
La gestione della sicurezza antincendio (GSA) si divide nei due aspetti: gestione della sicurezza antincendio in esercizio e gestione della sicurezza antincendio in emergenza,Si,"No, solo gestione della sicurezza antincendio in esercizio","No, solo gestione della sicurezza antincendio in emergenza",Si
La gestione della sicurezza antincendio (GSA) in esercizio deve comprendere,Tutte le azioni previste negli altre due punti,"L’adozione e verifica periodica delle misure antincendio preventive, l’apposizione della segnaletica di sicurezza (divieti, avvertimenti, evacuazione,…), la verifica dell’osservanza dei divieti, delle limitazioni e delle condizioni di esercizio ed il controllo e la manutenzione di impianti e attrezzature antincendio e la compilazione registro dei controlli","La preparazione alla gestione dell’emergenza, tramite piano di emergenza, formazione e addestramento degli addetti alla gestione dell’emergenza, esercitazioni antincendio e prove d’evacuazione periodiche e la gestione delle condizioni di maggior rischio (lavori di manutenzione, rischi di interferenza, disattivazione di impianti o sistemi di sicurezza, impiego temporaneo di sostanze o lavorazioni pericolose…..).",Tutte le azioni previste negli altre due punti
La gestione della sicurezza antincendio (GSA) in emergenza riguarda,l’attivazione e l’attuazione del piano di emergenza.,"L’adozione e verifica periodica delle misure antincendio preventive, l’apposizione della segnaletica di sicurezza (divieti, avvertimenti, evacuazione,), la verifica dell’osservanza dei divieti, delle limitazioni e delle condizioni di esercizio ed il controllo e la manutenzione di impianti e attrezzature antincendio e la compilazione registro dei controlli","La preparazione alla gestione dell’emergenza, tramite piano di emergenza, formazione e addestramento degli addetti alla gestione dell’emergenza, esercitazioni antincendio e prove d’evacuazione periodiche e la gestione delle condizioni di maggior rischio (lavori di manutenzione, rischi di interferenza, disattivazione di impianti o sistemi di sicurezza, impiego temporaneo di sostanze o lavorazioni pericolose….).",l’attivazione e l’attuazione del piano di emergenza.
Gli addetti al servizio antincendio,"attuano le misure antincendio in esercizio (in ordinario) e in emergenza, con le modalità stabilite dal datore di lavoro nei documenti della Gestione della Sicurezza Antincendio (GSA) e nel piano di emergenza","Attuano solo le misure antincendio in emergenza, con le modalità stabilite dal datore di lavoro nel piano di emergenza","Attuano solo le misure antincendio in esercizio (in ordinario), con le modalità stabilite dal datore di lavoro nei documenti della Gestione della Sicurezza Antincendio (GSA)","attuano le misure antincendio in esercizio (in ordinario) e in emergenza, con le modalità stabilite dal datore di lavoro nei documenti della Gestione della Sicurezza Antincendio (GSA) e nel piano di emergenza"
"Gli addetti al servizio antincendio, in condizione ordinarie (gestione sicurezza antincendio – GSA -  in esercizio)","attuano le misure antincendio in esercizio, in particolare: attuano le misure antincendio preventive; garantiscono la fruibilità delle vie di esodo; svolgono le attività di sorveglianza dei presidi antincendio","Attuano le misure antincendio in emergenza, in particolare: mettono in atto le azioni previste dal piano di emergenza; attuano le misure per l’evacuazione degli occupanti; eseguono le comunicazioni previste in emergenza; supportano le squadre di soccorso; provvedono allo spegnimento di un principio di incendio",Non svolgono particolari mansioni finalizzati alla gestione della sicurezza antincendi (GSA),"attuano le misure antincendio in esercizio, in particolare: attuano le misure antincendio preventive; garantiscono la fruibilità delle vie di esodo; svolgono le attività di sorveglianza dei presidi antincendio"
"Gli addetti al servizio antincendio, in condizione di emergenza (gestione sicurezza antincendio – GSA -  in emergenza)","attuano le misure antincendio in esercizio, in particolare: attuano le misure antincendio preventive; garantiscono la fruibilità delle vie di esodo; svolgono le attività di sorveglianza dei presidi antincendio","Attuano le misure antincendio in emergenza, in particolare: mettono in atto le azioni previste dal piano di emergenza; attuano le misure per l’evacuazione degli occupanti; eseguono le comunicazioni previste in emergenza; supportano le squadre di soccorso; provvedono allo spegnimento di un principio di incendio",Non svolgono particolari mansioni finalizzati alla gestione della sicurezza antincendi (GSA),"Attuano le misure antincendio in emergenza, in particolare: mettono in atto le azioni previste dal piano di emergenza; attuano le misure per l’evacuazione degli occupanti; eseguono le comunicazioni previste in emergenza; supportano le squadre di soccorso; provvedono allo spegnimento di un principio di incendio"
IL controllo e la manutenzione di impianti e attrezzature antincendio è parte integrante e fondamentale della gestione della sicurezza antincendio (GSA) organizzata dal datore di lavoro,"No, il mantenimento nel tempo del funzionamento e dell’efficacia degli impianti e attrezzature antincendio è garantito da una buona progettazione e una corretta installazione","Si, è fondamentale per garantire nel tempo il funzionamento e l’efficacia degli impianti e attrezzature antincendio","No, IL controllo e la manutenzione di impianti e attrezzature antincendio non rientrano fra le attività di gestione della sicurezza antincendio","Si, è fondamentale per garantire nel tempo il funzionamento e l’efficacia degli impianti e attrezzature antincendio"
"Gli impianti elettrici, impianti rilevanti ai fini della sicurezza antincendio, devono essere oggetto di manutenzione eseguita secondo le disposizioni vigenti, le norme volontarie applicate e i manuali d’uso e manutenzione forniti dal costruttore/installatore","Si, la manutenzione di tali impianti, unitamente alla realizzazione a regola d’arte, garantisce il corretto funzionamento degli stessi e la riduzione del rischio ad un livello accettabile, corrispondente al corretto funzionamento","No, non sono impianti rilevanti ai fini della sicurezza antincendio e pertanto non è necessaria la loro manutenzione ai fini della sicurezza antincendio","No, il mantenimento nel tempo del funzionamento e dell’efficacia degli impianti è garantito dalla progettazione e realizzazione a regola d’arte","Si, la manutenzione di tali impianti, unitamente alla realizzazione a regola d’arte, garantisce il corretto funzionamento degli stessi e la riduzione del rischio ad un livello accettabile, corrispondente al corretto funzionamento"
"Gli impianti di trasporto e utilizzo di sostanze liquide e gassose infiammabili, impianti rilevanti ai fini della sicurezza antincendio, devono essere oggetto di manutenzione eseguita secondo le disposizioni vigenti, le norme volontarie applicate e i manuali d’uso e manutenzione forniti dal costruttore/installatore","Si, la manutenzione di tali impianti, unitamente alla realizzazione a regola d’arte, garantisce il corretto funzionamento degli stessi e la riduzione del rischio ad un livello accettabile, corrispondente al corretto funzionamento","No, non sono impianti rilevanti ai fini della sicurezza antincendio e pertanto non è necessaria la loro manutenzione ai fini della sicurezza antincendio","No, il mantenimento nel tempo del funzionamento e dell’efficacia degli impianti è garantito dalla progettazione e realizzazione a regola d’arte","Si, la manutenzione di tali impianti, unitamente alla realizzazione a regola d’arte, garantisce il corretto funzionamento degli stessi e la riduzione del rischio ad un livello accettabile, corrispondente al corretto funzionamento"
"Gli impianti di processo che comportano un rischio di incendio, impianti rilevanti ai fini della sicurezza antincendio, devono essere oggetto di manutenzione eseguita secondo le disposizioni vigenti, le norme volontarie applicate e i manuali d’uso e manutenzione forniti dal costruttore/installatore","Si, la manutenzione di tali impianti, unitamente alla realizzazione a regola d’arte, garantisce il corretto funzionamento degli stessi e la riduzione del rischio ad un livello accettabile, corrispondente al corretto funzionamento","No, non sono impianti rilevanti ai fini della sicurezza antincendio e pertanto non è necessaria la loro manutenzione ai fini della sicurezza antincendio","No, il mantenimento nel tempo del funzionamento e dell’efficacia degli impianti è garantito dalla progettazione e realizzazione a regola d’arte","Si, la manutenzione di tali impianti, unitamente alla realizzazione a regola d’arte, garantisce il corretto funzionamento degli stessi e la riduzione del rischio ad un livello accettabile, corrispondente al corretto funzionamento"
"I presidi antincendio devono essere oggetto di manutenzione eseguita secondo le disposizioni vigenti, le norme volontarie applicate e i manuali d’uso e manutenzione forniti dal costruttore/installatore","Si, la manutenzione di tali presidi, unitamente alla realizzazione a regola d’arte, garantisce il corretto funzionamento degli stessi e la riduzione del rischio ad un livello accettabile, corrispondente al corretto funzionamento",Per i presidi antincendio non è necessaria effettuare la manutenzione ai fini della sicurezza antincendio,"No, il mantenimento nel tempo del funzionamento e dell’efficacia degli impianti è garantito dalla progettazione e realizzazione a regola d’arte","Si, la manutenzione di tali presidi, unitamente alla realizzazione a regola d’arte, garantisce il corretto funzionamento degli stessi e la riduzione del rischio ad un livello accettabile, corrispondente al corretto funzionamento"
Il Piano di Emergenza che il Datore di Lavoro redige ai sensi del Dlgs 81/2008 è,"L’organizzazione della risposta all’emergenza sviluppata e implementata sulla base della valutazione del rischio incendio nonché in risposta ad altri eventuali eventi emergenziali credibili (es terremoto, …)",L’organizzazione della risposta all’emergenza sviluppata e implementata sulla base dell’esperienza del Datore di Lavoro ,L’organizzazione della risposta all’emergenza mediante la redazione delle procedure per l’evacuazione del luogo di lavoro,"L’organizzazione della risposta all’emergenza sviluppata e implementata sulla base della valutazione del rischio incendio nonché in risposta ad altri eventuali eventi emergenziali credibili (es terremoto, …)"
"Il Piano di Emergenza, redatto per fronteggiare gli eventuali incendi che possono interessare il luogo di lavoro, dettaglia i compiti ed incarichi affidati agli addetti antincendio","Si, dettagliando: le modalità di allertamento per avvisare dell’emergenza in atto e delle chiamate di emergenza e soccorso, in particolare ai VVF;  le modalità di primo intervento negli ambiti coinvolti nell’emergenza; le modalità di avvio e coordinamento dell’evacuazione","Si, specificando che il principale compito affidato agli addetti antincendio è chiamare i soccorsi, in particolare ai VVF","No, il piano di emergenza delinea in generale le attività da mettere in campo in caso di incendio poiché gli addetti antincendio sono formati e sanno cosa fare","Si, dettagliando: le modalità di allertamento per avvisare dell’emergenza in atto e delle chiamate di emergenza e soccorso, in particolare ai VVF;  le modalità di primo intervento negli ambiti coinvolti nell’emergenza; le modalità di avvio e coordinamento dell’evacuazione"
"Il Piano di Emergenza, redatto dal Datore di Lavoro per fronteggiare gli eventuali incendi che possono interessare il luogo di lavoro, deve contenere",le azioni che i lavoratori devono mettere in atto in caso di incendio; le procedure per l’evacuazione del luogo di lavoro che devono essere attuate dai lavoratori e dalle altre persone presenti; le disposizioni per chiedere l’intervento dei vigili del fuoco e per fornire le necessarie informazioni al loro arrivo; le specifiche misure per assistere le persone con esigenze speciali,unicamente le procedure per l’evacuazione del luogo di lavoro che devono essere attuate dai lavoratori e dalle altre persone presenti,unicamente le disposizioni per chiedere l’intervento dei vigili del fuoco e per fornire le necessarie informazioni al loro arrivo,le azioni che i lavoratori devono mettere in atto in caso di incendio; le procedure per l’evacuazione del luogo di lavoro che devono essere attuate dai lavoratori e dalle altre persone presenti; le disposizioni per chiedere l’intervento dei vigili del fuoco e per fornire le necessarie informazioni al loro arrivo; le specifiche misure per assistere le persone con esigenze speciali
"Il Piano di Emergenza, redatto dal Datore di Lavoro per fronteggiare gli eventuali incendi che possono interessare il luogo di lavoro, deve identificare un adeguato numeri di addetti al servizio antincendio incaricati di sovrintendere e attuare le procedure previste","Si, il numero complessivo di personale designato alla gestione delle emergenze deve essere congruo, in relazione alle turnazioni e alle assenze ordinariamente prevedibili","No, è sufficiente che tra i lavoratori almeno due unità siano formate e addestrate per svolgere l’incarico di addetti antincendio","No, solo per le attività con un numero di occupanti maggiore di 1000","Si, il numero complessivo di personale designato alla gestione delle emergenze deve essere congruo, in relazione alle turnazioni e alle assenze ordinariamente prevedibili"
"Il Piano di Emergenza, redatto dal Datore di Lavoro per fronteggiare gli eventuali incendi che possono interessare il luogo di lavoro, dettaglia i compiti ed incarichi affidati agli addetti antincendio","Si, in generale: le modalità di allertamento per avvisare dell’emergenza in atto e delle chiamate di emergenza e soccorso, in particolare ai VVF; le modalità di primo intervento negli ambiti coinvolti nell’emergenza; le modalità di avvio e coordinamento dell’evacuazione","Si, in particolare il principale compito affidato agli addetti antincendio è chiamare i soccorsi, in particolare ai VVF","No, il piano di emergenza delinea in generale le attività da mettere in campo in caso di incendio poiché gli addetti antincendio sono formati e sanno cosa fare","Si, in generale: le modalità di allertamento per avvisare dell’emergenza in atto e delle chiamate di emergenza e soccorso, in particolare ai VVF; le modalità di primo intervento negli ambiti coinvolti nell’emergenza; le modalità di avvio e coordinamento dell’evacuazione"
"Il Piano di Emergenza, redatto dal Datore di Lavoro per fronteggiare gli eventuali incendi che possono interessare il luogo di lavoro",deve essere basato su chiare istruzioni scritte relative alle modalità di risposta all’incendio e includere anche una o più planimetrie descrittive dei luoghi e riportanti l’ubicazione dei presidi antincendio,deve essere basato solo su chiare istruzioni scritte relative alle modalità di risposta all’incendio,È composto solo da planimetrie descrittive dei luoghi e riportanti l’ubicazione dei presidi antincendio,deve essere basato su chiare istruzioni scritte relative alle modalità di risposta all’incendio e includere anche una o più planimetrie descrittive dei luoghi e riportanti l’ubicazione dei presidi antincendio
"Il Piano di Emergenza, redatto dal Datore di Lavoro per fronteggiare gli eventuali incendi che possono interessare il luogo di lavoro deve essere portato a conoscenza di tutti i lavoratori, anche se non addetti antincendio ","Si, in particolare nel piano di emergenza devono essere indicati anche i provvedimenti necessari per assicurare che tutto il personale sia informato sulle procedure da attuare","No, deve essere portato a conoscenza solo agli addetti antincendio che devono attuare gli incarichi e i compiti assegnati","No, deve essere portato a conoscenza dei VVF che devono intervenire in caso di incendio","Si, in particolare nel piano di emergenza devono essere indicati anche i provvedimenti necessari per assicurare che tutto il personale sia informato sulle procedure da attuare"
"Il Piano di Emergenza, redatto dal Datore di Lavoro per fronteggiare gli eventuali incendi che possono interessare il luogo di lavoro, deve indicare le specifiche procedure per la chiamata dei vigili del fuoco","Si, in modo da fornire correttamente informazioni utili per il soccorso: indirizzo del luogo di lavoro; tipologia emergenza e gravità; eventuale presenza di infortunati e di materiali e/o sostanze pericolosi presenti; informazioni su accesso e vie preferenziali per raggiungere il sito","No, è sufficiente indicare il numero di soccorso da chiamare nelle planimetrie ubicate nel luogo di lavoro","No, gli addetti antincendio incaricati sono formati e addestrati e non necessitano di altre istruzioni","Si, in modo da fornire correttamente informazioni utili per il soccorso: indirizzo del luogo di lavoro; tipologia emergenza e gravità; eventuale presenza di infortunati e di materiali e/o sostanze pericolosi presenti; informazioni su accesso e vie preferenziali per raggiungere il sito"
"Per più luoghi di lavoro ubicati nello stesso edificio, ma facenti capo a titolari diversi, i piani di emergenza devono essere coordinati","Si, in modo che i piani di emergenza delle singole attività siano coerenti fra loro","No, è sufficiente che ogni datore di lavoro rediga il proprio piano di emergenza indipendente dagli altri piani","No, poichè nello stesso edificio non possono mai coesistere più luoghi di lavoro facenti capo a titolari diversi","Si, in modo che i piani di emergenza delle singole attività siano coerenti fra loro"
I lavoratori e gli addetti antincendio che individuano prontamente un’emergenza incendio in atto devono,dare l’allarme secondo le indicazioni del piano di emergenza evitando di trasmettere stato di agitazione agli altri occupanti,dare l’allarme in qualunque modo per avvisare tutti,dare l’allarme al Datore di Lavoro che deciderà cosa fare,dare l’allarme secondo le indicazioni del piano di emergenza evitando di trasmettere stato di agitazione agli altri occupanti
"I lavoratori, in caso di emergenza incendio",Devono seguire le indicazioni del piano di emergenza redatte dal Datore di Lavoro,Intervenire nel luogo interessato cercando di spegnere in ogni modo l’incendio,"Devono allontanarsi dal luogo di lavoro, il più velocemente possibile e con qualunque modalità",Devono seguire le indicazioni del piano di emergenza redatte dal Datore di Lavoro
"Il datore di lavoro, oltre alla predisposizione del sistema d’esodo, nel piano di emergenza deve predisporre le procedure per consentire l’evacuazione dell’attività","Si, ","No, e sufficiente che il datore di lavoro identifichi le vie di esodo con idonea segnaletica di sicurezza","No, è sufficiente che il datore di lavoro indichi le vie di esodo nelle planimetrie apposte nell’attività","Si, "
Nell’attuazione delle procedure di evacuazione gli addetti antincendio ,svolgono un ruolo fondamentale assicurando e sovraintendendo il corretto svolgimento delle procedure di evacuazione ,Non sono chiamati a svolgere alcun ruolo poiché le procedure di evacuazione sono già a conoscenza di tutti i lavoratori,Non sono chiamati a svolgere alcun ruolo poiché il loro compito è solo chiamare i soccorsi esterni e tentare di spegnere l’incendio,svolgono un ruolo fondamentale assicurando e sovraintendendo il corretto svolgimento delle procedure di evacuazione 
"Nell’attuazione delle procedure di evacuazione, le azioni e le attività che devono svolgere gli addetti antincendio sono",Accertarsi che le uscite di sicurezza siano fruibili nonché tutte le altre azioni indicate negli altri due punti ,"sorvegliare la corretta evacuazione delle persone, accertarsi che nessun occupante abbia problemi a raggiungere l'uscita, assistere le persone con specifiche necessità (disabili, …) fino al raggiungimento del punto di raccolta","riunire gli occupanti presso il punto di raccolta; verificare, tramite appello dei presenti, che tutti gli occupanti abbiano raggiunto il luogo sicuro; verificare che tutte le persone presso il luogo di raccolta rimangano nelle aree prestabilite fino al termine dell'emergenza",Accertarsi che le uscite di sicurezza siano fruibili nonché tutte le altre azioni indicate negli altri due punti 
La gestione dell’emergenza deve essere oggetto di preparazione e prove periodiche,"Si, la gestione dell’emergenza deve essere preparata durante l’esercizio ordinario dell’attività e oggetto di specifiche prove periodiche","No, non è necessario fare le prove periodiche è sufficiente che la pianificazione della gestione delle emergenze sia portata a conoscenza dei lavoratori","No, in caso di emergenza gli addetti antincendio incaricati forniranno le istruzione e le procedure necessarie per gestire l’emergenza","Si, la gestione dell’emergenza deve essere preparata durante l’esercizio ordinario dell’attività e oggetto di specifiche prove periodiche"
